SIGUNGU,housing_cat,satis,sex,owning,cluster,occupy,num_of_room,num_of_livingroom,num_of_kitchen,area,income
7,6.0,2.0,3.0,0.0,3.0,2,3.0,0.0,1.0,16.0,350
7,6.0,2.0,3.0,1.0,3.0,1,3.0,0.0,1.0,17.0,300
20,6.0,3.0,3.0,0.0,2.0,3,2.0,1.0,0.0,15.0,300
7,6.0,3.0,3.0,1.0,2.0,1,3.0,0.0,1.0,17.0,200
20,3.0,3.0,1.0,0.0,0.0,3,3.0,1.0,0.0,19.0,200
20,3.0,3.0,3.0,0.0,2.0,2,3.0,1.0,0.0,19.0,400
7,6.0,3.0,3.0,0.0,2.0,7,3.0,0.0,1.0,17.0,130
13,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,18.0,130
13,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,170
13,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,0
11,6.0,3.0,3.0,0.0,0.0,3,3.0,1.0,0.0,21.5,300
11,2.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.0,9999999
12,4.0,4.0,3.0,1.0,0.0,1,3.0,1.0,1.0,32.0,200
